well_id,plate,row,column,flow_says_diploid,flow_haploid_count,flow_diploid_count,flow_ambiguous_count,flow_singlets_count,flow_all_events_count,flow_haploid_percent,flow_diploid_percent,flow_ambiguous_percent
WGS1E2,1,E,2,False,915.0,1.0,978.0,1894.0,5000.0,48.310454065469905,0.05279831045406547,51.63674762407603
WGS1E3,1,E,3,True,7.0,698.0,2004.0,2709.0,5000.0,0.2583979328165375,25.765965300849018,73.97563676633445
WGS1E4,1,E,4,False,1177.0,2.0,2275.0,3454.0,5000.0,34.07643312101911,0.05790387955993051,65.86566299942096
WGS1E5,1,E,5,True,554.0,555.0,2324.0,3433.0,5000.0,16.13748907660938,16.16661811826391,67.69589280512672
WGS1E6,1,E,6,False,1062.0,7.0,2750.0,3819.0,5000.0,27.808326787117043,0.1832940560356114,72.00837915684734
WGS1E7,1,E,7,True,37.0,703.0,2250.0,2990.0,5000.0,1.2374581939799332,23.51170568561873,75.25083612040135
WGS1E8,1,E,8,False,1543.0,5.0,2220.0,3768.0,5000.0,40.95010615711253,0.1326963906581741,58.917197452229296
WGS1E9,1,E,9,False,1439.0,1.0,2146.0,3586.0,5000.0,40.128276631344114,0.027886224205242612,59.84383714445064
WGS1E10,1,E,10,False,1383.0,2.0,2227.0,3612.0,5000.0,38.2890365448505,0.05537098560354374,61.65559246954596
WGS1F1,1,F,1,False,1826.0,1.0,1528.0,3355.0,5000.0,54.42622950819672,0.029806259314456036,45.54396423248882
WGS1F3,1,F,3,False,1435.0,2.0,2234.0,3671.0,5000.0,39.09016616725688,0.05448106782892945,60.855352764914194
WGS1F4,1,F,4,True,3.0,681.0,2177.0,2861.0,5000.0,0.10485844110450893,23.802866130723523,76.09227542817196
WGS1F5,1,F,5,True,23.0,444.0,1368.0,1835.0,5000.0,1.2534059945504086,24.196185286103542,74.55040871934605
WGS1F6,1,F,6,False,1340.0,11.0,2430.0,3781.0,5000.0,35.44035969320286,0.29092832583972494,64.26871198095742
WGS1F7,1,F,7,True,2.0,715.0,2224.0,2941.0,5000.0,0.06800408024481469,24.311458687521252,75.62053723223393
WGS1F8,1,F,8,True,2.0,183.0,1277.0,1462.0,5000.0,0.13679890560875513,12.517099863201095,87.34610123119015
